,Country,Alpha-3 code,PAYS,3 lettres
141,New Caledonia,NCL,NOUVELLE CALÉDONIE,NCL
142,New Zealand,NZL,NOUVELLE ZÉLANDE,NZL
143,Nicaragua,NIC,NICARAGUA,NIC
144,Niger (the),NER,NIGER,NER
145,Nigeria,NGA,NIGÉRIA,NGA
146,Norway,NOR,NORVÈGE,NOR
147,Oman,OMN,OMAN,OMN
148,Pakistan,PAK,PAKISTAN,PAK
149,Palau,PLW,PALAU,PLW
150,Panama,PAN,PANAMA,PAN
151,Papua New Guinea,PNG,PAPOUASIE NOUVELLE GUINÉE,PNG
152,Paraguay,PRY,PARAGUAY,PRY
153,Peru,PER,PÉROU,PER
154,Philippines (the),PHL,PHILIPPINES,PHL
155,Pitcairn,PCN,PITCAÏRN,PCN
156,Poland,POL,POLOGNE,POL
157,Portugal,PRT,PORTUGAL,PRT
158,Puerto Rico,PRI,PORTO RICO,PRI
159,Qatar,QAT,QUATAR,QAT
160,Republic of North Macedonia,MKD,MACÉDOINE (ancienne République yougoslave de),MKD
161,Russian Federation (the),RUS,RUSSIE (Fédération de),RUS
162,Rwanda,RWA,RWANDA,RWA
163,Réunion,REU,RÉUNION,REU
164,Saint Barthélemy,BLM,SAINT BARTHELEMY,BLM
165,"Saint Helena, Ascension and Tristan da Cunha",SHN,SAINTE HÉLÈNE,SHN
166,Saint Kitts and Nevis,KNA,SAINT KITTS ET NEVIS,KNA
167,Saint Lucia,LCA,SAINTE LUCIE,LCA
168,Saint Martin (French part),MAF,SAINT MARTIN,MAF
169,Saint Pierre and Miquelon,SPM,SAINT PIERRE ET MIQUELON,SPM
170,Saint Vincent and the Grenadines,VCT,SAINT VINCENT ET GRENADINES,VCT
171,Samoa,WSM,SAMOA,WSM
172,San Marino,SMR,SAN MARIN,SMR
173,Sao Tome and Principe,STP,SAO TOMÉ ET PRINCIPE,STP
174,Saudi Arabia,SAU,ARABIE SAOUDITE,SAU
175,Senegal,SEN,SÉNÉGAL,SEN
176,Seychelles,SYC,SEYCHELLES,SYC
177,Sierra Leone,SLE,SIERRA LÉONE,SLE
178,Singapore,SGP,SINGAPOUR,SGP
179,Slovakia,SVK,SLOVAQUIE,SVK
180,Slovenia,SVN,SLOVÉNIE,SVN
181,Solomon Islands,SLB,SALOMON (Îles),SLB
182,Somalia,SOM,SOMALIE,SOM
183,South Africa,ZAF,AFRIQUE DU SUD,ZAF
184,Spain,ESP,ESPAGNE,ESP
185,Sri Lanka,LKA,SRI LANKA,LKA
186,Sudan (the),SDN,SOUDAN,SDN
187,Suriname,SUR,SURINAME,SUR
188,Sweden,SWE,SUÈDE,SWE
189,Switzerland,CHE,SUISSE,CHE
190,Syrian Arab Republic,SYR,SYRIE (République arabe syrienne),SYR
191,Taiwan (Province of China),TWN,TAÏWAN,TWN
192,Tajikistan,TJK,TADJIKISTAN,TJK
193,"Tanzania, United Republic of",TZA,TANZANIE,TZA
194,Thailand,THA,THAÏLANDE,THA
195,Togo,TGO,TOGO,TGO
196,Tonga,TON,TONGA,TON
197,Trinidad and Tobago,TTO,TRINIDAD ET TOBAGO,TTO
198,Tunisia,TUN,TUNISIE,TUN
199,Turkey,TUR,TURQUIE,TUR
200,Turkmenistan,TKM,TURKMÉNISTAN,TKM
201,Uganda,UGA,OUGANDA,UGA
202,Ukraine,UKR,UKRAINE,UKR
203,United Arab Emirates (the),ARE,ÉMIRATS ARABES UNIS,ARE
204,United Kingdom of Great Britain and Northern Ireland (the),GBR,ROYAUME-UNI,GBR
205,United States of America (the),USA,ÉTATS UNIS D'AMÉRIQUE,USA
206,Uruguay,URY,URUGUAY,URY
207,Uzbekistan,UZB,OUZBÉKISTAN,UZB
208,Vanuatu,VUT,VANUATU,VUT
209,Venezuela (Bolivarian Republic of),VEN,VÉNÉZUELA,VEN
210,Viet Nam,VNM,VIETNAM,VNM
211,Wallis and Futuna,WLF,WALLIS ET FUTUNA (Îles),WLF
212,Western Sahara,ESH,SAHARA OCCIDENTAL,ESH
213,Yemen,YEM,YEMEN,YEM
214,Zambia,ZMB,ZAMBIE,ZMB
215,Zimbabwe,ZWE,ZIMBABWE,ZWE
